A4109, Civil Engineering, Indian Institute of Technology Bhubaneswar
B4101, Aerospace Engineering, Indian Institute of Technology Bombay
G4101, Aerospace Engineering, Indian Institute of Technology Kharagpur
G5101, Aerospace Engineering, Indian Institute of Technology Kharagpur
K4101, Aerospace Engineering, Indian Institute of Technology Kanpur
M4101, Aerospace Engineering, Indian Institute of Technology Madras
M5201, Aerospace Engineering, Indian Institute of Technology Madras
M5202, Aerospace Engineering with M.Tech. in Applied Mechanics with specialization in Biomedical Engineering, Indian Institute of Technology Madras
G4102, Agricultural and Food Engineering, Indian Institute of Technology Kharagpur
G5203, Agricultural and Food Engineering with M.Tech. in any of the listed specializations, Indian Institute of Technology Kharagpur
G5501, Applied Geology, Indian Institute of Technology Kharagpur
S5701, Applied Geology, Indian School of Mines Dhanbad
S5702, Applied Geophysics, Indian School of Mines Dhanbad
R5502, Applied Mathematics, Indian Institute of Technology Roorkee
G5101, Architecture, Indian Institute of Technology Kharagpur
R5101, Architecture, Indian Institute of Technology Roorkee
V5204, Biochemical Engineering, Institute of Technology Banaras Hindu University Varanasi
D5205, Biochemical Engineering and Biotechnology, Indian Institute of Technology Delhi
V5206, Bioengineering with M.Tech in Biomedical Technology, Institute of Technology Banaras Hindu University Varanasi
M5207, Biological Engineering, Indian Institute of Technology Madras
M5601, Biological Sciences, Indian Institute of Technology Madras
K4103, Biological Sciences and Bioengineering, Indian Institute of Technology Kanpur
R4104, Biotechnology, Indian Institute of Technology Roorkee
W4104, Biotechnology, Indian Institute of Technology Guwahati
G4105, Biotechnology and Biochemical Engineering, Indian Institute of Technology Kharagpur
G5208, Biotechnology and Biochemical Engineering, Indian Institute of Technology Kharagpur
V4106, Ceramic Engineering, Institute of Technology Banaras Hindu University Varanasi
V5209, Ceramic Engineering, Institute of Technology Banaras Hindu University Varanasi
B4107, Chemical Engineering, Indian Institute of Technology Bombay
B5210, Chemical Engineering, Indian Institute of Technology Bombay
D4107, Chemical Engineering, Indian Institute of Technology Delhi
D5210, Chemical Engineering, Indian Institute of Technology Delhi
G4107, Chemical Engineering, Indian Institute of Technology Kharagpur
G5210, Chemical Engineering, Indian Institute of Technology Kharagpur
H4107, Chemical Engineering, Indian Institute of Technology Hyderabad
K4107, Chemical Engineering, Indian Institute of Technology Kanpur
M4107, Chemical Engineering, Indian Institute of Technology Madras
M5210, Chemical Engineering, Indian Institute of Technology Madras
N4107, Chemical Engineering, Indian Institute of Technology Gandhinagar
R4107, Chemical Engineering, Indian Institute of Technology Roorkee
S4107, Chemical Engineering, Indian School of Mines Dhanbad
V4107, Chemical Engineering, Institute of Technology Banaras Hindu University Varanasi
W4107, Chemical Engineering, Indian Institute of Technology Guwahati
R5211, Chemical Engineering with M.Tech. in Hydrocarbon Engineering, Indian Institute of Technology Roorkee
W4108, Chemical Science and Technology, Indian Institute of Technology Guwahati
B5503, Chemistry, Indian Institute of Technology Bombay
G5503, Chemistry, Indian Institute of Technology Kharagpur
K4201, Chemistry, Indian Institute of Technology Kanpur
R5503, Chemistry, Indian Institute of Technology Roorkee
B4109, Civil Engineering, Indian Institute of Technology Bombay
D4109, Civil Engineering, Indian Institute of Technology Delhi
G4109, Civil Engineering, Indian Institute of Technology Kharagpur
H4109, Civil Engineering, Indian Institute of Technology Hyderabad
K4109, Civil Engineering, Indian Institute of Technology Kanpur
M4109, Civil Engineering, Indian Institute of Technology Madras
R4109, Civil Engineering, Indian Institute of Technology Roorkee
V4109, Civil Engineering, Institute of Technology Banaras Hindu University Varanasi
W4109, Civil Engineering, Indian Institute of Technology Guwahati
M5213, Civil Engineering (Infrastructural Civil Engineering), Indian Institute of Technology Madras
G5215, Civil Engineering with any of the listed specialization, Indian Institute of Technology Kharagpur
M5215, Civil Engineering with any of the listed specialization, Indian Institute of Technology Madras
M5212, Civil Engineering with M.Tech. in Applied Mechanics in any of the listed specializations, Indian Institute of Technology Madras
R5214, Civil Engineering with M.Tech. in Structural Engineering, Indian Institute of Technology Roorkee
V5214, Civil Engineering with M.Tech. in Structural Engineering, Institute of Technology Banaras Hindu University Varanasi
B4110, Computer Science and Engineering, Indian Institute of Technology Bombay
D4110, Computer Science and Engineering, Indian Institute of Technology Delhi
D5216, Computer Science and Engineering, Indian Institute of Technology Delhi
E4110, Computer Science and Engineering, Indian Institute of Technology Indore
G4110, Computer Science and Engineering, Indian Institute of Technology Kharagpur
G5216, Computer Science and Engineering, Indian Institute of Technology Kharagpur
H4110, Computer Science and Engineering, Indian Institute of Technology Hyderabad
J4110, Computer Science and Engineering, Indian Institute of Technology Rajasthan
K4110, Computer Science and Engineering, Indian Institute of Technology Kanpur
M4110, Computer Science and Engineering, Indian Institute of Technology Madras
M5216, Computer Science and Engineering, Indian Institute of Technology Madras
P4110, Computer Science and Engineering, Indian Institute of Technology Patna
R4110, Computer Science and Engineering, Indian Institute of Technology Roorkee
S4110, Computer Science and Engineering, Indian School of Mines Dhanbad
V4110, Computer Science and Engineering, Institute of Technology Banaras Hindu University Varanasi
V5216, Computer Science and Engineering, Institute of Technology Banaras Hindu University Varanasi
W4110, Computer Science and Engineering, Indian Institute of Technology Guwahati
W4401, Design, Indian Institute of Technology Guwahati
G5504, Economics, Indian Institute of Technology Kharagpur
K4202, Economics, Indian Institute of Technology Kanpur
A4111, Electrical Engineering, Indian Institute of Technology Bhubaneswar
B4111, Electrical Engineering, Indian Institute of Technology Bombay
C4111, Electrical Engineering, Indian Institute of Technology Mandi
D4111, Electrical Engineering, Indian Institute of Technology Delhi
E4111, Electrical Engineering, Indian Institute of Technology Indore
G4111, Electrical Engineering, Indian Institute of Technology Kharagpur
H4111, Electrical Engineering, Indian Institute of Technology Hyderabad
J4111, Electrical Engineering, Indian Institute of Technology Rajasthan
K4111, Electrical Engineering, Indian Institute of Technology Kanpur
M4111, Electrical Engineering, Indian Institute of Technology Madras
M5217, Electrical Engineering, Indian Institute of Technology Madras
N4111, Electrical Engineering, Indian Institute of Technology Gandhinagar
P4111, Electrical Engineering, Indian Institute of Technology Patna
R4111, Electrical Engineering, Indian Institute of Technology Roorkee
S4111, Electrical Engineering, Indian School of Mines Dhanbad
U4111, Electrical Engineering, Indian Institute of Technology Ropar
V4111, Electrical Engineering, Institute of Technology Banaras Hindu University Varanasi
D4112, Electrical Engineering (Power), Indian Institute of Technology Delhi
M5218, Electrical Engineering with M.Tech in Applied Mechanics with specialization in Biomedical Engineering, Indian Institute of Technology Madras
G5222, Electrical Engineering with M.Tech. in any of the listed specializations, Indian Institute of Technology Kharagpur
B5219, Electrical Engineering with M.Tech. in Communications and Signal Processing, Indian Institute of Technology Bombay
D5220, Electrical Engineering with M.Tech. in Information and Communication Technology, Indian Institute of Technology Delhi
B5221, Electrical Engineering with M.Tech. in Microelectronics, Indian Institute of Technology Bombay
R5223, Electrical Engineering with M.Tech. in Power Electronics, Indian Institute of Technology Roorkee
V5223, Electrical Engineering with M.Tech. in Power Electronics, Institute of Technology Banaras Hindu University Varanasi
R4114, Electronics and Communication Engineering, Indian Institute of Technology Roorkee
S4114, Electronics and Communication Engineering, Indian School of Mines Dhanbad
W4114, Electronics and Communication Engineering, Indian Institute of Technology Guwahati
R5224, Electronics and Communication Engineering with M.Tech. in Wireless Communication, Indian Institute of Technology Roorkee
G4115, Electronics and Electrical Communication Engineering, Indian Institute of Technology Kharagpur
G5225, Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations, Indian Institute of Technology Kharagpur
W4116, Electronics and Electrical Engineering, Indian Institute of Technology Guwahati
V4113, Electronics Engineering, Institute of Technology Banaras Hindu University Varanasi
B5226, Energy Engineering with M.Tech. in Energy Systems Engineering, Indian Institute of Technology Bombay
M5227, Engineering Design (Automotive Engineering), Indian Institute of Technology Madras
M5228, Engineering Design (Biomedical Design), Indian Institute of Technology Madras
B4117, Engineering Physics, Indian Institute of Technology Bombay
D4117, Engineering Physics, Indian Institute of Technology Delhi
M4117, Engineering Physics, Indian Institute of Technology Madras
V5301, Engineering Physics, Institute of Technology Banaras Hindu University Varanasi
W4117, Engineering Physics, Indian Institute of Technology Guwahati
B5229, Engineering Physics with M.Tech. in Engineering Physics with specialization in Nano Science, Indian Institute of Technology Bombay
H4118, Engineering Science, Indian Institute of Technology Hyderabad
S4119, Environmental Engineering, Indian School of Mines Dhanbad
G5505, Exploration Geophysics, Indian Institute of Technology Kharagpur
R5302, Geological Technology, Indian Institute of Technology Roorkee
R5303, Geophysical Technology, Indian Institute of Technology Roorkee
C4110, Indian Institute of Technology Mandi 138 Computer Science and Engineering, Indian Institute of Technology Mandi
V5304, Industrial Chemistry, Institute of Technology Banaras Hindu University Varanasi
G4120, Industrial Engineering, Indian Institute of Technology Kharagpur
G5230, Industrial Engineering with M.Tech. in Industrial Engineering and Management, Indian Institute of Technology Kharagpur
G4121, Instrumentation Engineering, Indian Institute of Technology Kharagpur
G4122, Manufacturing Science and Engineering, Indian Institute of Technology Kharagpur
G5231, Manufacturing Science and Engineering with M.Tech. in Industrial Engineering and Management, Indian Institute of Technology Kharagpur
V5232, Material Science and Technology, Institute of Technology Banaras Hindu University Varanasi
K4123, Materials Science and Engineering, Indian Institute of Technology Kanpur
D5305, Mathematics and Computing, Indian Institute of Technology Delhi
G5506, Mathematics and Computing, Indian Institute of Technology Kharagpur
S5305, Mathematics and Computing, Indian School of Mines Dhanbad
V5305, Mathematics and Computing, Institute of Technology Banaras Hindu University Varanasi
W4124, Mathematics and Computing, Indian Institute of Technology Guwahati
V5801, Mathematics and Computing , Institute of Technology Banaras Hindu University Varanasi
K4203, Mathematics and Scientific Computing, Indian Institute of Technology Kanpur
A4125, Mechanical Engineering, Indian Institute of Technology Bhubaneswar
B4125, Mechanical Engineering, Indian Institute of Technology Bombay
C4125, Mechanical Engineering, Indian Institute of Technology Mandi
D4125, Mechanical Engineering, Indian Institute of Technology Delhi
E4125, Mechanical Engineering, Indian Institute of Technology Indore
G4125, Mechanical Engineering, Indian Institute of Technology Kharagpur
H4125, Mechanical Engineering, Indian Institute of Technology Hyderabad
J4125, Mechanical Engineering, Indian Institute of Technology Rajasthan
K4125, Mechanical Engineering, Indian Institute of Technology Kanpur
M4125, Mechanical Engineering, Indian Institute of Technology Madras
N4125, Mechanical Engineering, Indian Institute of Technology Gandhinagar
P4125, Mechanical Engineering, Indian Institute of Technology Patna
R4125, Mechanical Engineering, Indian Institute of Technology Roorkee
S4125, Mechanical Engineering, Indian School of Mines Dhanbad
U4125, Mechanical Engineering, Indian Institute of Technology Ropar
V4125, Mechanical Engineering, Institute of Technology Banaras Hindu University Varanasi
V5233, Mechanical Engineering, Institute of Technology Banaras Hindu University Varanasi
W4125, Mechanical Engineering, Indian Institute of Technology Guwahati
M5237, Mechanical Engineering (Intelligent Manufacturing), Indian Institute of Technology Madras
M5238, Mechanical Engineering (Product design), Indian Institute of Technology Madras
M5236, Mechanical Engineering (Thermal Engineering), Indian Institute of Technology Madras
G5239, Mechanical Engineering with M.Tech. in any of the listed specializations, Indian Institute of Technology Kharagpur
B5234, Mechanical Engineering with M.Tech. in Computer Aided Design and Automation, Indian Institute of Technology Bombay
B5235, Mechanical Engineering with M.Tech. in Computer Integrated Manufacturing, Indian Institute of Technology Bombay
G4127, Metallurgical and Materials Engineering, Indian Institute of Technology Kharagpur
M4127, Metallurgical and Materials Engineering, Indian Institute of Technology Madras
M5241, Metallurgical and Materials Engineering, Indian Institute of Technology Madras
R4127, Metallurgical and Materials Engineering, Indian Institute of Technology Roorkee
R5242, Metallurgical and Materials Engineering with M.Tech. in Materials Engineering, Indian Institute of Technology Roorkee
G5243, Metallurgical and Materials Engineering with M.Tech. in Metallurgical and Materials Engineering, Indian Institute of Technology Kharagpur
V4126, Metallurgical Engineering, Institute of Technology Banaras Hindu University Varanasi
V5240, Metallurgical Engineering, Institute of Technology Banaras Hindu University Varanasi
B4128, Metallurgical Engineering and Materials Science, Indian Institute of Technology Bombay
B5244, Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites, Indian Institute of Technology Bombay
B5245, Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering, Indian Institute of Technology Bombay
S4129, Mineral Engineering, Indian School of Mines Dhanbad
S5246, Mineral Engineering with M.Tech in Mineral Engineering, Indian School of Mines Dhanbad
S5401, Mineral Engineering with MBA, Indian School of Mines Dhanbad
G4130, Mining Engineering, Indian Institute of Technology Kharagpur
G5247, Mining Engineering, Indian Institute of Technology Kharagpur
S4130, Mining Engineering, Indian School of Mines Dhanbad
V4130, Mining Engineering, Institute of Technology Banaras Hindu University Varanasi
V5247, Mining Engineering, Institute of Technology Banaras Hindu University Varanasi
S5247, Mining Engineering with M.Tech. in Mining Engineering, Indian School of Mines Dhanbad
S5402, Mining Engineering with MBA, Indian School of Mines Dhanbad
S4131, Mining Machinery Engineering, Indian School of Mines Dhanbad
G5248, Mining Safety Engineering, Indian Institute of Technology Kharagpur
M4132, Naval Architecture and Ocean Engineering, Indian Institute of Technology Madras
M5249, Naval Architecture and Ocean Engineering, Indian Institute of Technology Madras
M5250, Naval Architecture and Ocean Engineering with M.Tech in Applied Mechanics in any of the listed specializations, Indian Institute of Technology Madras
G4133, Ocean Engineering and Naval Architecture, Indian Institute of Technology Kharagpur
G5251, Ocean Engineering and Naval Architecture, Indian Institute of Technology Kharagpur
S4134, Petroleum Engineering, Indian School of Mines Dhanbad
S5252, Petroleum Engineering with M.Tech in Petroleum Management, Indian School of Mines Dhanbad
V4301, Pharmaceutics, Institute of Technology Banaras Hindu University Varanasi
G5507, Physics, Indian Institute of Technology Kharagpur
K4204, Physics, Indian Institute of Technology Kanpur
M5602, Physics, Indian Institute of Technology Madras
R5507, Physics, Indian Institute of Technology Roorkee
R4135, Polymer Science and Technology, Indian Institute of Technology Roorkee
R5403, Process Engineering with MBA, Indian Institute of Technology Roorkee
D4136, Production and Industrial Engineering, Indian Institute of Technology Delhi
R4136, Production and Industrial Engineering, Indian Institute of Technology Roorkee
R4137, Pulp and Paper Engineering, Indian Institute of Technology Roorkee
G5253, Quality Engineering Design and Manufacturing, Indian Institute of Technology Kharagpur
J4138, Systems Science, Indian Institute of Technology Rajasthan
D4139, Textile Technology, Indian Institute of Technology Delhi
U4110,Computer Science and Engineering, Indian Institute of Technology Ropar
